   Vāhaṭa: Aṣṭāṅganighaṇṭu	VAhawa: Azwa-aFga-niGaNwu
   śāṇḍilyaḥ śrīnivāsakaḥ VAnigh_93b	SANxilyaH SrInivAsakaH VAniG_93b
   śātakumbhaṃ ca hāṭakam VAnigh_305d	SAtakumBam ca hAwakam VAniG_305d
   śārkaraṃ saindham aikṣavam VAnigh_330b	SArkaram sEnDam Ekzavam VAniG_330b
   śārṅgeṣṭāṅgāravallikā VAnigh_72b	SArFgezwA-aFgAravallikA VAniG_72b
   śārdūlaś citrakāyastu VAnigh_346a	SArdUlaH citrakAyaH-tu Va-aniG_346a
   śālaparṇī sthirā dhruvā VAnigh_18b	SAlaparNI sTirA DruvA VAniG_18b
   śālaḥ sarjarasāhvayaḥ VAnigh_190b	SAlaH sarjarasa-AhvayaH VAniG_190b
   śālir vrīhir varaś caiva VAnigh_333a	SAliH vrIhiH varaH ca-eva Va-aniG_333a
   śikhaṇḍy āsphotakaḥ smṛtaḥ VAnigh_238d	SiKaNxI AsPotakaH smRtaH VAniG_238d
   śikhāvalaḥ śikhī kekī VAnigh_353a	SiKAvalaH SiKI kekI VAniG_353a
   śikhikaṇṭhaṃ ca tutthakam VAnigh_291b	SiKikaNWam ca tutTakam VAniG_291b
   śigruḥ śobhāñjanas tīkṣṇa- VAnigh_94c	SigruH SoBAQjanaH tIkzNa Va-aniG_94c
   śitikaṇṭhaḥ kapālabhṛt VAnigh_393d	SitikaNWaH kapAlaBRt VAniG_393d
   śitivāraḥ sūcipattraḥ VAnigh_262c	SitivAraH sUcipattraH VAniG_262c
   śirīṣo mṛdupuṣpakaḥ VAnigh_84b	SirIzaH mRdupuzpakaH VAniG_84b
   śilākarpūrasaṃjñakam VAnigh_296b	SilA-karpUra-saMjQakam VAniG_296b
   śilājaṃ dhātujaṃ jñeyaṃ VAnigh_102a	SilAjam DAtu-jam jQeyam Va-aniG_102a
   śilājaṃ sthaviraṃ tathā VAnigh_302d	SilAjam sTaviram taTA VAniG_302d
   śilāpuṣpaṃ tu śaileyaṃ VAnigh_302c	SilApuzpam tu SEleyam Va-aniG_302c
   śivaḥ śūlī maheśvaraḥ VAnigh_391d	SivaH SUlI maheSvaraH VAniG_391d
   śivāparṇā bhavānī ca VAnigh_397a	SivA-aparNA BavAnI ca Va-aniG_397a
   śivāraṇyā miśiḥ smṛtā VAnigh_266d	Siva-AraNyA miSiH smRtAH VAniG_266d
   śīghraśākhā śākhinī ca VAnigh_263c	SIGraSAKA SAKinI ca Va-aniG_263c
   śītapākī subījakaḥ VAnigh_207b	SItapAkI su-bIjakaH VAniG_207b
   śītavīryaḥ parpaṭakaḥ VAnigh_209a	SIta-vIryaH parpawakaH VAniG_209a
   śītāṃśur induś candramāḥ VAnigh_386a	SItAMSuH induH candramAH VAniG_386a
   śītāṃśvamṛtalakṣmībhir VAnigh_407a	SItAMSu-amRta-lakzmIBiH VAniG_407a
   śukaghrāṇo 'lpanālikā VAnigh_213b	Suka-GrANaH alpa-nAlikA VAniG_213b
   śukanāsā tu nalikā VAnigh_213a	Suka-nAsA tu nalikA VAniG_213a
   śukeṣṭaṃ dāḍimaṃ caiva VAnigh_54c	Sukezwam dAximam ca-eva Va-aniG_54c
   śuktaṃ sauvīrakaṃ ceti VAnigh_331c	Suktam sOvIrakam ca-iti Va-aniG_331c
   śuktivyāghrinakho 'marāhvamaguruḥ śrīvāsakaḥ kuṅkumaṃ VAnigh_179c	Sukti-vyAGri-naKaH amara-Ahvam-aguruH SrIvAsakaH kuFkumam Va-aniG_179c
   śuktiḥ kararuho nakhaḥ VAnigh_186d	SuktiH kararuhaH naKaH VAniG_186d
   śuklakandā ghuṇapriyā VAnigh_146b	Sukla-kandA GuNapriyA VAniG_146b
   śuklakandā palāśikā VAnigh_4d	SuklakandA palASikAH VAniG_4d
   śuklapuṣpā bhūmilagnā VAnigh_204c	Sukla-puzpA BUmi-lagnA Va-aniG_204c
   śuklaṃ tejo bījapuṃstve VAnigh_376a	Suklam tejaH bIja-puMstve Va-aniG_376a
   śuklā yā sā svādukandā VAnigh_148c	SuklA yA sA svAdu-kandAH Va-aniG_148c
   śuṇṭhī mahauṣadhaṃ viśvaṃ VAnigh_33a	SuNWI mahOzaDam viSvam Va-aniG_33a
   śūkātmakaḥ kharabusau VAnigh_133c	SUka-AtmakaH Kara-busO VAniG_133c
   śūlaghnī copakuñcikā VAnigh_34d	SUla-GnI ca-upakuQcikA VAniG_34d
   śṛgālaghaṇṭā vajrākṣī VAnigh_254c	SRgAlaGaNwA vajrAkzI Va-aniG_254c
   śṛgālavinnā lāṅgūlī VAnigh_17c	SRgAlavinnA lAFgUlI Va-aniG_17c
   śṛgālikā puṣpavallī VAnigh_4c	SRgAlikA puzpavallI VAniG_4c
   śṛgālo jambukaḥ kroṣṭā VAnigh_351a	SRgAlaH jambukaH krozwA VAniG_351a
   śṛṅgaverābhamūlakaḥ VAnigh_110b	SRFgavera-ABa-mUlakaH VAniG_110b
   śṛṅgāṭako jalaphalaṃ VAnigh_317a	SRFgAwakaH jala-Palam Va-aniG_317a
   śṛṅgī smṛtā mahāghoṣā VAnigh_45a	SRFgI smRtAH mahA-GozAH VAniG_45a
   śephālikā śvetapuṣpā VAnigh_139c	SePAlikA SvetapuzpAH Va-aniG_139c
   śailūṣaḥ kāntavṛkṣakaḥ VAnigh_219d	SElUzaH kAnta-vRkzakaH VAniG_219d
   śailodbhūtaṃ tathāmbaram VAnigh_290d	SEla-udBUtam taTA-ambaram VAniG_290d
   śaivālaṃ jalasambhavam VAnigh_313d	SEvAlam jala-samBavam VAniG_313d
   śoṇitaṃ kṣatajam asṛk VAnigh_373d	SoNitam kzatajam asRk VAniG_373d
   śoṣagulmāṅgamardordhva- VAnigh_3c	Soza-gulma-aFgamarda-UrDva VAniG_3c
   śauṇḍī syāt tīkṣṇataṇḍulā VAnigh_31d	SONxI syAt tIkzNa-taNxulAH VAniG_31d
   śyāmā kāntā priyaṅgukā VAnigh_58b	SyAmA kAntA priyaFgukA VAniG_58b
   śyāmā kuṭaraṇā trivṛt VAnigh_194d	SyAmA kuwaraNA trivRt VAniG_194d
   śyāmādantīdravantīkramukakuṭaraṇāśaṃkhinī carmasāhvā VAnigh_191a	SyAmA-dantI-dravantI-kramuka-kuwaraNa-aSaMKinI carmasAhvA VAniG_191a
   śyāmādo kālameṣikā VAnigh_192b	SyAmAdaH kAlamezikAH VAniG_192b
   śyāmādyo hanti gulmaṃ viṣamarucikaphau hṛdrujaṃ mūtrakṛcchram VAnigh_191d	SyAma-AdyaH hanti gulmam vizama-ruci-kaPO hRd-rujam mUtrakRcCram VAniG_191d
   śyonākaś caiva ṭuṇṭukaḥ VAnigh_110d	SyonAkaH ca-eva wuNwukaH VAniG_110d
   śravāḥ kākodaraḥ phaṇī VAnigh_361b	SravAH kAkodaraH PaNI VAniG_361b
   śrāvaṇī syāt muṇḍitikā VAnigh_264a	SrAvaNI syAt muNxitikAH VAniG_264a
   śrīveṣṭako vāyasako VAnigh_188a	SrIvezwakaH vAyasakaH Va-aniG_188a
   śrīhastinī kuraṭakā VAnigh_111a	SrI-hastinI kurawakAH VAniG_111a
   śreyasī syād gajakaṇā- VAnigh_37a	SreyasI syAt gaja-kaNA VAniG_37a
   śreṣṭhā cāpi phalatrayam VAnigh_49d	SrezWA ca-api Palatrayam VAniG_49d
   śleṣmāntako bahuphalaḥ VAnigh_219c	SlezmAntakaH bahuPalaH VAniG_219c
   śvadaṃṣṭrā ca trikaṇṭakaḥ VAnigh_20d	SvadaMzwrA ca trikaNwakaH VAniG_20d
   śvāsakāsaharo gaṇaḥ VAnigh_3d	SvAsa-kAsa-haraH gaNaH VAniG_3d
   śvāsadrumaḥ kākataruḥ VAnigh_285c	SvAsadrumaH kAkataruH VAniG_285c
   śvitrakuṣṭhakaphakrimīn VAnigh_80b	Svitra-kuzWa-kaPa-krimIn VAniG_80b
   śvetakāmbhojikā dhvāṅkṣī VAnigh_224c	SvetakAmBojikA DvAFkzI Va-aniG_224c
   śvetaghnaḥ śītaśamanaḥ VAnigh_89a	SvetaGnaH SIta-SamanaH VAniG_89a
   śvetacāmarakaḥ kāśas VAnigh_237c	Sveta-cAmarakaH kASaH Va-aniG_237c
   śvetacāmarakaḥ kāśo VAnigh_108c	Sveta-cAmarakaH kASaH VAniG_108c
   śvetatvak tīkṣṇasāraś ca VAnigh_231a	Sveta-tvac tIkzNasAraH ca Va-aniG_231a
   śvetanirguṇḍikā smṛtā VAnigh_139d	Sveta-nirguNxikA smRtAH VAniG_139d
   śvetapākī śikhaṇḍikā VAnigh_224d	SvetapAkI SiKaNxikA VAniG_224d
   śvetapuṣpaphaleti ca VAnigh_270d	SvetapuzpaPalA-iti ca VA-niG_270d
   śvetapuṣpāvarohitaḥ VAnigh_217b	Sveta-puzpa-avarohitaH VAniG_217b
   śvetaraktaviṣā matā VAnigh_146d	Sveta-rakta-vizAH matA VAniG_146d
   śvetāṅgaṃ maricāhvayam VAnigh_96b	Sveta-aFgam marica-Ahvayam VAniG_96b
   śvetā tu khaṭikā smṛtā VAnigh_286d	SvetA tu KawikA smRtAH VAniG_286d
   śvetāyugmaṃ tāpasānāṃ ca vṛkṣaḥ VAnigh_121d	SvetA-yugmam tApasAnAm ca vRkzaH VAniG_121d
   śvetā sunābhiḥ kaṭabhī VAnigh_127a	SvetA sunABiH kawaBI Va-aniG_127a
   ṣaṭpadabhramarāvaliḥ VAnigh_368b	zawpada-Bramara-AvaliH VAniG_368b
   ṣaḍgranthā haimavatyapi VAnigh_148b	zaxgranTA hEmavatI-api VAniG_148b
   sa kāṇḍekṣunibhāṅghrikaḥ VAnigh_108b	sa kANxa-ikzu-niBa-aFGrikaH VAniG_108b
   sakṛtprasūtā gṛṣṭiḥ syāt VAnigh_372c	sakRt-prasUtA gRzwiH syAt Va-aniG_372c
   sajahviḥ śrīkaraḥ śālo VAnigh_87c	sajahviH SrIkaraH SAlaH Va-aniG_87c
   satīnā chardikā tathā VAnigh_206b	satInA CardikA taTA VAniG_206b
   sandhānīyau hitau pitte VAnigh_156c	sanDAnIyO hitO pitte Va-aniG_156c
   saptacchadāgnisuṣavīphalabāṇaghoṇṭāḥ VAnigh_68d	saptacCada-agni-suzavI-Pala-bANa-GoNwAH VAniG_68d
   saptacchado 'yugmapattraḥ VAnigh_75c	saptacCadaH ayugmapattraH VAniG_75c
   saptāhvo gucchapuṣpakaḥ VAnigh_75d	saptAhvaH gucCapuzpakaH VAniG_75d
   saptir vāhas tu bāḍavaḥ VAnigh_344d	saptiH vAhaH tu bAxavaH VAniG_344d
   samaṅgā vikasāruṇā VAnigh_158d	samaFgA vikasa-aruNA VAniG_158d
   samaṅgā śatapattrā ca VAnigh_161a	samaFgA SatapattrA ca Va-aniG_161a
   samantadugdhā śvajihva- VAnigh_142c	samantadugDA Sva-jihva Va-aniG_142c
   samīraṇo mātariśvā VAnigh_377c	samIraNaH mAtariSvA VAniG_377c
   samudrajaṃ ca sāmudraṃ VAnigh_294a	samudrajam ca sAmudram VAniG_294a
   samudrajo vyāghranakho VAnigh_187c	samudrajaH vyAGranaKaH Va-aniG_187c
   samudraphenaṃ śuṣkaṃ ca VAnigh_303c	samudraPenam Suzkam ca Va-aniG_303c
   samudrānto yavāsakaḥ VAnigh_159d	samudrAntaH yavAsakaH VAniG_159d
   sa mocarasasaṃjñakaḥ VAnigh_160d	sa moca-rasa-saMjQakaH VAniG_160d
   saraghā madhumakṣikā VAnigh_368d	saraGA maDumakzikAH VAniG_368d
   saralo devadārukaḥ VAnigh_116d	saralaH devadArukaH VAniG_116d
   sarpaś citras tu nīlābho VAnigh_265a	sarpaH citraH tu nIla-ABaH VAniG_265a
   sarpaḥ pṛdākurbhujago VAnigh_360a	sarpaH pRdAkuH-BujagaH VAniG_360a
   sarpākṣī raktapuṣpikā VAnigh_205b	sarpAkzI raktapuzpikA VAniG_205b
   saryako mṛdupuṣpakaḥ VAnigh_73d	saryakaH mRdupuzpakaH VAniG_73d
   sarvajñāya namaskṛtya VAnigh_1a	sarvajQAya namaskRtya VAniG_1a
   sarvaṃsahā vasumatī VAnigh_381a	sarvaMsahA vasumatI VAniG_381a
   savitā ca sahasrāṃśur VAnigh_384c	savitA ca sahasrAMSuH Va-aniG_384c
   saśilājatu kṛcchrāśma- VAnigh_98c	sa-SilAjatu kRcCra-aSma Va-aniG_98c
   sahadevā mahāgandhā VAnigh_10a	sahadevAH mahAganDA Va-aniG_10a
   sahasravīryas tīkṣṇāmlo VAnigh_222a	sahasra-vIryaH tIkzNa-amlaH Va-aniG_222a
   sahasravīryā golomī VAnigh_232c	sahasravIryA golomI VAniG_232c
   sahasrī bahumūlakaḥ VAnigh_164b	sahasrI bahumUlakaH VAniG_164b
   saṃgrahe vālpasaṃgrahe VAnigh_202b	saMgrahe vA-alpa-saMgrahe VAniG_202b
   saṃgrāhī bhagnasādhanaḥ VAnigh_170b	saMgrAhI Bagna-sADanaH VAniG_170b
   saṃjñā tu parikīrtitā VAnigh_47d	saMjQA tu parikIrtitAH VAniG_47d
   saṃtānaṃ stanikā smṛtā VAnigh_324d	saMtAnam stanikA smRtAH VAniG_324d
   sātalā saptalā carma- VAnigh_196a	sAtalA saptalA carma VAniG_196a
   sāraṅgaḥ khañjanaś caiva VAnigh_357a	sAraFgaH KaQjanaH ca-eva Va-aniG_357a
   sāraṇī supratānikā VAnigh_248b	sAraNI su-pratAnikA VAniG_248b
   sāradruḥ śālmalī mocā VAnigh_160a	sAradruH SAlmalI mocA Va-aniG_160a
   sārasaṃ sarasīruham VAnigh_59d	sArasam sarasIruham VAniG_59d
   sārivādigaṇaṃ vakṣye VAnigh_24a	sArivAdi-gaNam vakzye Va-aniG_24a
   sārivā phāṇijihvikā VAnigh_21b	sArivA PANi-jihvikA VAniG_21b
   sārivośīrakāśmarya- VAnigh_23a	sArivA-uSIra-kASmarya VAniG_23a
   sāro maṇḍalapattrakaḥ VAnigh_84d	sAraH maNxalapattrakaH VAniG_84d
   sikthakaṃ makṣikāmalam VAnigh_327d	sikTakam makzikA-malam VAniG_327d
   sitaṃ tīkṣṇaṃ śigrubījaṃ VAnigh_96a	sitam tIkzNam Sigru-bIjam Va-aniG_96a
   sitā kumārikā mallī VAnigh_218c	sitA kumArikA mallI Va-aniG_218c
   sitā dūrvā ca śādvalaḥ VAnigh_232d	sitA dUrvA ca SAdvalaH VAniG_232d
   sitā matsyaṇḍikā smṛtā VAnigh_326d	sitA matsyaNxikA smRtAH VAniG_326d
   sitopalā śarkarā ca VAnigh_326c	sitopalA SarkarA ca Va-aniG_326c
   siddhārthako bhūtanāśo VAnigh_38a	sidDArTakaH BUtanASaH VAniG_38a
   sindūraṃ raktareṇu śrī- VAnigh_292c	sindUram rakta-reNu SrI Va-aniG_292c
   sindhuraḥ sindhuvāraś ca VAnigh_217a	sinDuraH sinDuvAraH ca Va-aniG_217a
   siṃhā ca kṣudravārttākī VAnigh_19c	siMhA ca kzudravArttAkI Va-aniG_19c
   siṃhāsyaḥ karkaṭaś caiva VAnigh_106a	siMhAsyaH karkawaH ca-eva Va-aniG_106a
   siṃhāsyaḥ karkaṭaś caiva VAnigh_214c	siMhAsyaH karkawaH ca-eva Va-aniG_214c
   sīsakaṃ nāgamuragaṃ VAnigh_308a	sIsakam nAgam-uragam Va-aniG_308a
   sukando mustakandakaḥ VAnigh_316d	sukandaH mustakandakaH VAniG_316d
   sugandhā gopavally api VAnigh_21d	suganDA gopavallI api VA-niG_21d
   sugandhā suvahā rāsnā VAnigh_117c	suganDA su-vahAH rAsnA VAniG_117c
   sugandhimūlā bhadrā ca VAnigh_21c	suganDimUlA BadrA ca Va-aniG_21c
   sutajīvaḥ putrajīvaḥ VAnigh_247a	suta-jIvaH putrajIvaH VAniG_247a
   sudyutiḥ śuklapuṣpakaḥ VAnigh_319d	su-dyutiH SuklapuzpakaH VAniG_319d
   sudhā vajrī mahāvṛkṣo VAnigh_142a	suDA vajrI mahA-vRkzaH VAniG_142a
   sunāḍiko raktapuṣpo VAnigh_9c	sunAxikaH raktapuzpaH VAniG_9c
   suniṣaṇṇadalā tathā VAnigh_260d	su-nizaNNa-dalA taTA VAniG_260d
   suparvā ca tṛṇadhvajaḥ VAnigh_215d	suparvA ca tRNaDvajaH VAniG_215d
   supratiṣṭhaḥ sadāphalaḥ VAnigh_172b	su-pratizWaH sadAPalaH VAniG_172b
   subhagas tāmrapallavaḥ VAnigh_119b	suBagaH tAmra-pallavaH VAniG_119b
   surakāṣṭhaṃ bhadradāruḥ VAnigh_117a	surakAzWam BadradAruH VAniG_117a
   surabhir gopakaḥ smṛtaḥ VAnigh_372b	suraBiH gopakaH smRtaH VAniG_372b
   surabhiś ca kadambaś ca VAnigh_118a	suraBiH ca kadambaH ca Va-aniG_118a
   surabhiḥ sallakī mocā VAnigh_120c	suraBiH sallakI mocA Va-aniG_120c
   surasayugaphaṇijjaṃ kālamālā viḍaṅgaṃ VAnigh_129a	surasa-yuga-PaNijjam kAlamAlA vixaFgam Va-aniG_129a
   surasādir gaṇaḥ śleṣma- VAnigh_130a	surasAdiH gaNaH Slezma Va-aniG_130a
   surasādau gaṇe dvedhā VAnigh_131a	surasAdO gaNe dveDA Va-aniG_131a
   surā kṛṣṇagarur ataḥ VAnigh_131b	surA kRzNagaruH atas VAniG_131b
   suvarṇaṃ kanakaṃ smṛtam VAnigh_305b	suvarNam kanakam smRtam VAniG_305b
   suvasanto 'timuktakaḥ VAnigh_136d	suvasantaH atimuktakaH VAniG_136d
   suvāsā himasaṃbhavā VAnigh_148d	su-vAsAH hima-saMBavAH VAniG_148d
   suṣeṇikā śaśāhvā ca VAnigh_192c	suzeNikA SaSAhvA ca Va-aniG_192c
   suhelā ca suṣeṇī ca VAnigh_182a	suhelA ca suzeNI ca Va-aniG_182a
   sūkṣmapattrā dvīpiśatruḥ VAnigh_14c	sUkzmapattrA dvIpi-SatruH VAniG_14c
   sūkṣmapattrā sarpagandhā VAnigh_205a	sUkzmapattrA sarpaganDA Va-aniG_205a
   sūkṣmapādas tāmracūḍo VAnigh_242c	sUkzma-pAdaH tAmracUxaH Va-aniG_242c
   sūkṣmamūlāparājitā VAnigh_203d	sUkzma-mUla-aparAjitA VAniG_203d
   sūkṣmailānyā tu kathyate VAnigh_181b	sUkzmElA-anyA tu kaTyate VAniG_181b
   sūkṣmailā bahulā truṭiḥ VAnigh_41b	sUkzmElA bahulA truwiH VAniG_41b
   sūkṣmo vedapavitrakaḥ VAnigh_96d	sUkzmaH veda-pavitrakaH VAniG_96d
   sūro haṃso ravir bhānuḥ VAnigh_382c	sUraH haMsaH raviH BAnuH VAniG_382c
   sūryabhaktā sukhodbhāvā VAnigh_236a	sUryaBaktA suKa-udBAvAH VAniG_236a
   sūryāvartā ravipriyā VAnigh_236b	sUryAvartA ravipriyA VAniG_236b
   sūryāhvārkas tu rūpikā VAnigh_123b	sUrya-Ahva-arkaH tu rUpikA VAniG_123b
   saindhavaṃ māṇimanthaṃ ca VAnigh_101c	sEnDavam mANimanTam ca Va-aniG_101c
   sairyakas tu sahacaraḥ VAnigh_73c	sEryakaH tu sahacaraH VAniG_73c
   sailavāluparipelavamocāḥ VAnigh_113d	sa-elavAlu-paripelava-mocAH VAniG_113d
   sailāmadhukanāgāhvaṃ VAnigh_56c	sA-elA-maDuka-nAgAhvam Va-aniG_56c
   saiva proktā gavādanī VAnigh_198b	sA-eva proktA gavAdanI VAniG_198b
   saiṃhikeyo vidhuṃtudaḥ VAnigh_389b	sEMhikeyaH viDuMtudaH VAniG_389b
   somā brahmasuvarcalā VAnigh_246b	somA brahmasuvarcalA VAniG_246b
   sohalā rudatī tanvī VAnigh_203c	sohalA rudatI tanvI VAniG_203c
   saugandhikaṃ tu kalhāraṃ VAnigh_61a	sOganDikam tu kalhAram Va-aniG_61a
   saugandhiko gandhakastu VAnigh_288a	sOganDikaH ganDakaH-tu Va-aniG_288a
   saudhaḥ pāṣāṇako lavaḥ VAnigh_287d	sODaH pAzANakaH lavaH VAniG_287d
   saubhāgyaṃ ṭaṅkaṇaṃ kṣāraḥ VAnigh_295a	sOBAgyam waFkaNam kzAraH VAniG_295a
   saumyagandhā barbarikā VAnigh_264c	sOmyaganDA barbarikA VAniG_264c
   saumyā suvarcalā brāhmī VAnigh_246a	sOmyA suvarcalA brAhmI Va-aniG_246a
   saumyo hṛdayadīpanaḥ VAnigh_376d	sOmyaH hRdaya-dIpanaH VAniG_376d
   saurabhaḥ kokilapriyaḥ VAnigh_175b	sOraBaH kokilapriyaH VAniG_175b
   saurāṣṭrī rocanā śivā VAnigh_296d	sOrAzwrI rocanA SivAH VAniG_296d
   sauvarcalaṃ tu rucakam VAnigh_293a	sOvarcalam tu rucakam VAniG_293a
   sauvīraṃ netrabhūṣaṇam VAnigh_57d	sOvIram netra-BUzaNam VAniG_57d
   skandhapuṣpaḥ surāhvayaḥ VAnigh_162d	skanDapuzpaH sura-AhvayaH VAniG_162d
   stanyakarā ghnantīraṇapittaṃ prīṇanajīvanabṛṃhaṇavṛṣyāḥ VAnigh_42/b	stanya-karAH Gnanti-IraNa-pittam prINana-jIvana-bRMhaNa-vRzyAH VAniG_42/b
   stanyadoṣanibarhaṇau VAnigh_150d	stanya-doza-nibarhaNO VAniG_150d
   stanyaṃ vāri stanodbhavam VAnigh_324b	stanyam vAri stana-udBavam VAniG_324b
   stanyākhyo dugdhapāṣāṇaḥ VAnigh_287c	stanya-AKyaH dugDa-pAzANaH VAniG_287c
   stanyāmayaghnā malapācanāś ca VAnigh_166d	stanya-Amaya-GnAH mala-pAcanAH ca VA-niG_166d
   stabdharomā pṛthuskandhaḥ VAnigh_349c	stabDa-romA pRTu-skanDaH VAniG_349c
   sthalyāmoghāmbuvāsinī VAnigh_71d	sTalyA-amoGa-ambu-vAsinI VAniG_71d
   sthāṇukarṇī gavādanī VAnigh_198d	sTANukarNI gavAdanI VAniG_198d
   sthāṇū rudra umāpatiḥ VAnigh_396b	sTANuH rudraH umApatiH VAniG_396b
   sthirā kroṣṭukapucchikā VAnigh_17d	sTirA krozwukapucCikA VAniG_17d
   sthūlailā tripuṭodbhavā VAnigh_181d	sTUlElA tri-puwa-udBavAH VAniG_181d
   sthauṇeyaṃ tailapītakam VAnigh_186b	sTONeyam tEla-pItakam VAniG_186b
   snigdhavṛkṣastu sakṣīraḥ VAnigh_275a	snigDa-vRkzaH-tu sa-kzIraH VAniG_275a
   snehasāro 'sthisambhavaḥ VAnigh_375d	sneha-sAraH asTi-samBavaH VAniG_375d
   spṛkkācorakacocapattratagarasthauṇeyajātīrasāḥ VAnigh_179b	spRkkA-coraka-coca-pattra-tagara-sTONeya-jAtI-rasAH VAniG_179b
   spṛkkā jātyajamodahiṅgutruṭibhiḥ bhārṅgīvilaṅgānvitaiḥ VAnigh_30c	spRkkA jAti-ajamoda-hiFgu-truwiBiH BArFgI-vilaFga-anvitEH Va-aniG_30c
   spṛkkā devī latā satī VAnigh_183d	spRkkA devI latA satI VAniG_183d
   spṛkkā spṛk brāhmaṇī devī VAnigh_39c	spRkkA spRS brAhmaNI devI Va-aniG_39c
   sphoṭaśophakṣatakaraṃ VAnigh_168a	sPowa-SoPa-kzata-karam Va-aniG_168a
   smṛtaṃ srotoñjanaṃ vīram VAnigh_57a	smRtam srotoQjanam vIram VAniG_57a
   smṛto devakutumbakaḥ VAnigh_251d	smRtaH devakutumbakaH VAniG_251d
   syandanaḥ stimito nemiḥ VAnigh_81c	syandanaH stimitaH nemiH VAniG_81c
   srotoghnastu suvarcikaḥ VAnigh_294d	srotaH-GnaH-tu suvarcikaH VAniG_294d
   srotodbhavam atho nādyaṃ VAnigh_57c	srotodBavam aTo nAdyam Va-aniG_57c
   svadyoto jyotiriṅgaṇaḥ VAnigh_370d	sva-dyotaH jyotiriFgaNaH VAniG_370d
   svargapuṣpaṃ varālakam VAnigh_302b	svargapuzpam varAlakam VAniG_302b
   svarṇakṣīrīgavākṣīśikharirajanakacchinnarohākarañjāḥ VAnigh_191b	svarNakzIrI-gavAkzI-SiKari-rajanaka=-Cinna-roha-AkaraQjAH VAniG_191b
   svarṇakṣīrī haimavatī VAnigh_197a	svarNakzIrI hEmavatI VAniG_197a
   svarṇavarṇākaraḥ pīta- VAnigh_244c	svarNa-varNa-AkaraH pIta Va-aniG_244c
   svarṇavarṇā haridrā tu VAnigh_153a	svarNa-varNA haridrA tu Va-aniG_153a
   svaryā maricikā phalā VAnigh_32b	svaryA maricikA PalA VAniG_32b
   svastikaḥ suniṣaṇṇakaḥ VAnigh_262d	svastikaH sunizaNNakaH VAniG_262d
   svādukaṇṭo vikaṅkataḥ VAnigh_72d	svAdukaNwaH vikaFkataH VAniG_72d
   svādugandhicchadā caiva VAnigh_131c	svAdu-ganDicCadA ca-eva Va-aniG_131c
   svādutiktaphalaḥ smṛtaḥ VAnigh_97d	svAdu-tikta-PalaH smRtaH VAniG_97d
   svādumañjā pṛthucchadaḥ VAnigh_250b	svAdu-maQjA pRTucCadaH VAniG_250b
   svādvamlaṃ rocanaṃ caiva VAnigh_55a	svAdu-amlam rocanam ca-eva Va-aniG_55a
   hanti vātakṛtān gadān VAnigh_104b	hanti vAta-kRtAn gadAn VAniG_104b
   hantrī vṛścikahāriṇī VAnigh_277d	hantrI vRScika-hAriNI VAniG_277d
   hayo 'śvas turago vājī VAnigh_344c	hayaH aSvaH turagaH vAjI Va-aniG_344c
   harayonī rasottamaḥ VAnigh_290b	hara-yonI rasa-uttamaH VAniG_290b
   haraṃ bījāhvayaṃ matam VAnigh_231d	haram bIja-Ahvayam matam VAniG_231d
   haraḥ smaraharo bhargas VAnigh_395a	haraH smara-haraH BargaH VA-aniG_395a
   hariṇājinayonayaḥ VAnigh_347d	hariNa-ajina-yonayaH VAniG_347d
   haritālamālaṃ tālaṃ VAnigh_289a	haritAla-m-Alam tAlam Va-aniG_289a
   haridrādigaṇaṃ vakṣye VAnigh_152a	haridrA-Adi-gaNam vakzye Va-aniG_152a
   haridrādvayayaṣṭyāhva- VAnigh_149c	haridrA-dvaya-yazwyAhva Va-aniG_149c
   harimanthāḥ sugandhāś ca VAnigh_338a	harimanTAH suganDAH ca Va-aniG_338a
   harītaky abhayā jayā VAnigh_50b	harItakI aBayA jayA VAniG_50b
   haryakṣaḥ kesarī hariḥ VAnigh_346d	haryakzaH kesarI hariH VAniG_346d
   hasantikāṅgāradhānī VAnigh_379a	hasantikA-aFgAra-DAnI VAniG_379a
   haṃsapādī raktapādī VAnigh_22a	haMsapAdI raktapAdI Va-aniG_22a
   hiṅgupattrī tu pṛthvīkā VAnigh_248c	hiFgupattrI tu pRTvIkAH Va-aniG_248c
   hiṅgulaṃ daradaṃ mlecchaṃ VAnigh_292a	hiFgulam daradam mlecCam Va-aniG_292a
   hintālī tu mahātālī VAnigh_281c	hintAlI tu mahAtAlI VAniG_281c
   hiraṇyapuṣpī kharjūrī VAnigh_236c	hiraNyapuzpI KarjUrI Va-aniG_236c
   hiṃgunā puṣkaracchadaḥ VAnigh_255b	hiMgunA puzkaracCadaH VAniG_255b
   huṃkāro bhīṣaṇāhvayaḥ VAnigh_97b	huMkAraH BIzaNa-AhvayaH VAniG_97b
   hemapadmaṃ tu padmakam VAnigh_43b	hema-padmam tu padmakam VAniG_43b
   hemapuṣpaṃ tu nāgāhvaṃ VAnigh_62c	hemapuzpam tu nAgAhvam Va-aniG_62c
   hemavalko mahāvalko VAnigh_53a	hemavalkaH mahA-valkaH VAniG_53a
   hrasvāṅgā śaṅkhapuṣpikā VAnigh_204d	hrasvAFgA SaFKapuzpikA VAniG_204d
   hrīveraṃ vāri keśāhvam VAnigh_183a	hrIveram vAri keSa-Ahvam VAniG_183a
