   1.03.079 anu-parābhyāṃ kṛÑaḥ	1.03.079 anu-parAByAm kRÑaH
   1.03.080 abhi-prati=atibhyaḥ kṣipaḥ	1.03.080 aBi-prati=atiByaH kzipaH
   1.03.081 prād vahaḥ	1.03.081 prAt vahaH
   1.03.082 parer mṛṣaḥ	1.03.082 pareH mRzaH
   1.03.083 vi-āṄ-paribhyaḥ=ramaḥ	1.03.083 vi-AṄ--pariByaH-=ramaH
   1.03.084 upāt=ca	1.03.084 upAt-=ca
   1.03.085 vibhāṣā=a-karmakāt	1.03.085 viBAzA-=a-karmakAt
   1.03.086 budhḥ-yudhA-naśḥ-jana-iṄ-pru-dru-srubhyo Ṇeḥ	1.03.086 buDH-yuDA-naSH-jana--iṄ-pru-dru--sruByaH ṆeH
   1.03.087 nigaraṇa-calana=arthebhyaḥ	1.03.087 nigaraNa-calana-=arTeByaH
   1.03.088 aṆau=a-karmakāt=cittavat-kartṛkāt	1.03.088 aṆO=a-karma-kAt=-cittavat--kartRkAt-
   1.03.089 na pā-dami=āṄ-yamA-āṄ-yasa-pari-muha-ruci-nṛti-vadA-vasaḥ	1.03.089 na pA-dami=AṄ-yam-A-AṄ-ya-sa--pari-muha--ruci-nRti-vadA--vasaH
   1.03.090 vā KyaṢaḥ	1.03.090 vA KyaṢaH
   1.03.091 dyudbhyo lUṄi	1.03.091 dyudByaH lUṄi
   1.03.092 vṛdbhyaḥ sya-saNoḥ	1.03.092 vRdByaH sya--saNoH
   1.03.093 lUṬi ca kḷp-aḥ	1.03.093 lUṬi ca k?p-aH
   1.04.001 ā kaḍārāt=ekā saṃjñā	1.04.001 A kaxAra-at=ekA saMjQA
   1.04.002 vipratiṣedhe param kāryam	1.04.002 vipratizeDe param kAryam
   1.04.003 yū strī=akhyau nadī	1.04.003 yU strI-=aKyO nadI
   1.04.004 na=iyaṄ=uvaṄ-sthānau=a-strī	1.04.004 na=iyaṄ-=u-vaṄ--sTAnO=a--strI
   1.04.005 vā=āmi	1.04.005 vA-a=Ami
   1.04.006 ṄIT-i hrasvaś ca	1.04.006 ṄIT-i hrasvaH ca
   1.04.007 śeṣo GHI=a-sakhi	1.04.007 SezaH GHI=a--saKi
   1.04.008 patiḥ samāse=eva	1.04.008 patiH samAse=a-iva
   1.04.009 ṣaṣṭhī-yuktaś chandasi vā	1.04.009 zazWI--yuktaH Candasi vA
   1.04.010 hrasvam laghu	1.04.010 hrasvam laGu
   1.04.011 saṃyoge guru	1.04.011 saMyoge guru
   1.04.012 dīrghaṃ ca	1.04.012 dIrGam ca
   1.04.013 yasmāt pratyaya-vidhis tad-ādi pratyaye=aṛgam	1.04.013 yasmAt pratyaya-viDiH tad--Adi pratyaye=-aRgam
   1.04.014 sUP-tiṄ=antam padam	1.04.014 sUP-tiṄ=antam padam
   1.04.015 naḥ Kye	1.04.015 naH Kye
